ID,TAG,NAME,E_NAME,SYM,COL,CAMP,NUM,RACE1,RACE2,SEX,CLASS,PATRON,CHARA,RELM1,RELM2,LEV,RARE,SPELL,EXP,N_EXP,N_MIN,AGE,SC,WEALTH,FATHER,MOTHER,DV,SP,VIS,AC,EV,VO,ALERT,STR,INT,WIS,DEX,CON,CHA,BONUS,M_HB,M_HM,M_WB,M_WM,F_HB,F_HM,F_WB,F_WM,HAND,RING,AMULET,BODY,OUTER,HEAD,ARMS,FEET,TAIL,SP_MELEE,BATTLE,UNDERLING,ARTIFACT,FLAG,AUTHORITY,DESCRIPTION,E_DESCRIPTION,COMMENT,,,,
271,271,ライト・ハウンド,Light hound,Z,o,0,-1,ZEPHYR_HOUND,ZEPHYR_HOUND,VARIABLE,NONE,NONE,ORDINARY,NONE,NONE,12,1,50,300,0,0,0,0,200,NONE,NONE,-1,0,30,30,0,0,0,15,12,12,17,11,13,5,165,10,550,3,165,10,550,3,-1 ,-1 ,-1 ,-1 ,-1 ,-1 ,-1 ,-1 ,-1 ,,BITE:HURT:1d6,,,FORCE_SLEEP|FRIENDS|SELF_LITE_1|SELF_LITE_2|BASH_DOOR|RES_LITE|BR_LITE,,光を発する犬型の生物で、その光は離れた所からでも冒険者の目を傷つける。,"A brilliant canine form whose light hurts your eyes, even at this distance.
","J0#
J0#
J0#(コメント)
J0# ハウンドについては「土水火風」がすべて含まれているのだが、日本語に訳すと
J0# 雰囲気が悪くなりそうなものが多いので、それとの統一からカタカナにしてある。
J0# ただ、カタカナでまったく理解できそうもないものは日本語にしてある。
J0# エレメンタル、スピリットとの統一がとれていないのは問題があるかもしれない。
J0#",,,,
272,272,シャドウ・ハウンド,Shadow hound,Z,D,0,-1,ZEPHYR_HOUND,ZEPHYR_HOUND,VARIABLE,NONE,NONE,ORDINARY,NONE,NONE,12,1,50,300,0,0,0,0,200,NONE,NONE,-1,0,30,30,0,0,0,15,12,12,17,11,13,5,165,10,550,3,165,10,550,3,-1 ,-1 ,-1 ,-1 ,-1 ,-1 ,-1 ,-1 ,-1 ,,BITE:HURT:1d6,,,FORCE_SLEEP|FRIENDS|BASH_DOOR|HURT_LITE|RES_DARK|BR_DARK,,巨大な犬の形をした空気の穴だ。どんな光もその姿を照らし出すことはできない。,"A hole in the air in the shape of a huge hound.  No light falls upon its 
form.
",JZ#,,,,
273,273,浮遊髑髏,Flying skull,s,s,0,-1,HUMAN,HUMAN,VARIABLE,NONE,NONE,ORDINARY,NONE,NONE,15,3,50,50,0,0,0,0,200,NONE,NONE,-1,0,30,30,0,0,20,14,14,14,14,14,14,5,165,10,550,3,165,10,550,3,-1 ,-1 ,-1 ,-1 ,-1 ,-1 ,-1 ,-1 ,-1 ,,"BITE:POISON:1d3
BITE:LOSE_STR:1d4",,,SKELETON|IM_POIS|IM_COLD|WEIRD_MIND|FEARLESS|CAN_FLY|RES_NETH|NO_CONF|NO_SLEEP|BASH_DOOR|FRIENDS|COLD_BLOOD,,死霊術の呪文により動いている髑髏だ。,"A skullpack animated by necromantic spells.
",JZ#,,,,
274,274,ミ=ゴウ,Mi-Go,I,R,0,-1,INSECT,INSECT,VARIABLE,NONE,NONE,ORDINARY,NONE,NONE,15,2,50,80,0,0,0,0,200,NONE,NONE,-1,10,20,30,0,0,20,14,14,14,14,14,14,5,165,10,550,3,165,10,550,3,-1 ,-1 ,-1 ,-1 ,-1 ,-1 ,-1 ,-1 ,-1 ,,"STING:POISON:1d4
BITE:LOSE_STR:1d2",,,IM_POIS|IM_COLD|COLD_BLOOD|NO_SLEEP|NO_CONF|CAN_FLY|CONF|S_MONSTER|S_DEMON,,"「それはピンクがかった 1.5m 程度の大きさの甲殻類の体をしていて、
異常な数の背びれのような膜状の羽と、関節のあるいくつかの足が生えている。
頭があるべき場所には渦巻き状の楕円体があり、多数の短い触角で覆われて
いる...」","""They were pinkish things about five feet long; with crustaceous 
bodies bearing vast pairs of dorsal fins or membranous wings and 
several sets of articulate limbs, and with a sort of convoluted 
ellipsoid, covered with multitudes of very short antenna, where 
a head would ordinarily be...""
 1.5m 


...",JZ#,,,,
275,275,巨大タランチュラ,Giant tarantula,S,G,0,-1,SPIDER,SPIDER,VARIABLE,NONE,NONE,ORDINARY,NONE,NONE,15,3,50,70,0,0,0,0,200,NONE,NONE,-1,10,8,32,0,0,80,14,14,14,14,14,14,5,250,20,1010,10,250,20,1010,10,-1 ,-1 ,-1 ,-1 ,-1 ,-1 ,-1 ,-1 ,-1 ,,"BITE:POISON:1d6
BITE:POISON:1d6
BITE:POISON:1d6",,,WEIRD_MIND|BASH_DOOR|WILD_ALL|IM_POIS,,毛の生えた黒と赤のまだらの足を持つ、巨大な蜘蛛だ。,"A giant spider with hairy black and red legs.
",J0#,,,,
276,276,巨大透明ムカデ,Giant clear centipede,c,w,0,-1,ICKY,ICKY,VARIABLE,NONE,NONE,ORDINARY,NONE,NONE,15,2,50,30,600,395,0,0,200,NONE,NONE,-1,0,12,30,0,0,30,14,14,14,14,14,14,5,165,10,550,3,165,10,550,3,-1 ,-1 ,-1 ,-1 ,-1 ,-1 ,-1 ,-1 ,-1 ,,"BITE:HURT:2d4
STING:HURT:2d4",,,ATTR_CLEAR|INVISIBLE|WEIRD_MIND|BASH_DOOR|WILD_ALL,,それは長さが 1.5 メートル近くもある肉食生物だ。,"It is about four feet long and carnivorous.
 1.5 ",J0#,,,,
277,277,闇の森蜘蛛,Mirkwood spider,S,u,0,-1,SPIDER,SPIDER,VARIABLE,NONE,NONE,ORDINARY,NONE,NONE,15,2,50,25,0,0,0,0,200,NONE,NONE,-1,10,15,25,0,0,80,14,14,14,14,14,14,5,270,20,1120,10,270,20,1120,10,-1 ,-1 ,-1 ,-1 ,-1 ,-1 ,-1 ,-1 ,-1 ,,"BITE:HURT:1d8
BITE:POISON:1d6
BITE:POISON:1d6",,,FRIENDS|WILD_WOOD|WEIRD_MIND|BASH_DOOR|HURT_LITE|IM_POIS|RES_DARK,,"闇の森に生息する強力な蜘蛛だ。ずる賢く邪悪で、冒険者の肉体内部の
水分を賞味しようとしている。","A strong and powerful spider from Mirkwood forest.  Cunning and evil, it 
seeks to taste your juicy insides.

",J0#,,,,
278,278,フロスト・ジャイアント,Frost giant,P,w,0,-1,GIANT,GIANT,VARIABLE,NONE,NONE,ORDINARY,NONE,NONE,15,1,50,75,0,0,0,0,200,NONE,NONE,-1,0,20,50,0,0,50,14,14,14,14,14,14,5,165,10,550,3,165,10,550,3,-1 ,-1 ,-1 ,-1 ,-1 ,-1 ,-1 ,-1 ,-1 ,,"HIT:COLD:3d6
HIT:HURT:2d8",,,WILD_WASTE|WILD_MOUNTAIN|OPEN_DOOR|BASH_DOOR|AURA_COLD|EAT_GIVE_STR|IM_COLD,,大きさが 3 メートルもある毛皮で覆われた巨人だ。,"A twelve foot tall giant covered in furs.
 3 ",J0#,,,,
279,279,グリフォン,Griffon,H,u,0,-1,QUADRUPED,QUADRUPED,VARIABLE,NONE,NONE,ORDINARY,NONE,NONE,15,1,50,1820,0,0,0,0,200,NONE,NONE,-1,5,20,50,0,0,70,14,14,14,14,14,14,5,165,10,550,3,165,10,550,3,-1 ,-1 ,-1 ,-1 ,-1 ,-1 ,-1 ,-1 ,-1 ,,"SHOOT:HURT:4d5
CLAW:HURT:2d3
CLAW:HURT:2d3
BITE:HURT:2d3",,,CAN_FLY|RIDING|BASH_DOOR|IM_COLD|IM_ELEC|IM_ACID|SHOOT,,"その体は半分がライオンで、半分がワシだ。それは冒険者の方へ威嚇的に
飛んでくる。","It is half lion, half eagle.  It flies menacingly towards you.

",J0#,,,,
280,280,ホムンクルス,Homonculous,u,U,0,-1,IMP,IMP,VARIABLE,NONE,NONE,ORDINARY,NONE,NONE,15,3,50,40,200,294,0,0,200,NONE,NONE,-1,0,20,32,0,0,30,14,14,14,14,14,14,5,165,10,550,3,165,10,550,3,-1 ,-1 ,-1 ,-1 ,-1 ,-1 ,-1 ,-1 ,-1 ,,"HIT:PARALYZE:1d2
HIT:HURT:1d10",,,OPEN_DOOR|BASH_DOOR|NONLIVING|CAN_FLY|IM_FIRE|FEARLESS,,それは悪意に満ちあふれた小さなデーモンの精霊だ。,"It is a small demonic spirit full of malevolence.
",J0#,,,,
281,281,ノーム・メイジ,Gnome mage,h,R,0,-1,GNOME,GNOME,VARIABLE,NONE,NONE,ORDINARY,NONE,NONE,15,2,50,40,0,0,0,0,200,NONE,NONE,-1,0,20,20,0,0,20,14,14,14,14,14,14,5,165,10,550,3,165,10,550,3,-1 ,-1 ,-1 ,-1 ,-1 ,-1 ,-1 ,-1 ,-1 ,,HIT:HURT:1d5,,,HAS_LITE_1|FORCE_SLEEP|FRIENDS|OPEN_DOOR|BASH_DOOR|BLINK|DARKNESS|BO_COLD|S_MONSTER,,背の低いメイジだ。,"A mage of short stature.
",J0#,,,,
282,282,クリア・ハウンド,Clear hound,Z,B,0,-1,ZEPHYR_HOUND,ZEPHYR_HOUND,VARIABLE,NONE,NONE,ORDINARY,NONE,NONE,14,2,50,420,0,0,0,0,200,NONE,NONE,-1,0,30,30,0,0,0,15,12,12,17,11,13,5,165,10,550,3,165,10,550,3,-1 ,-1 ,-1 ,-1 ,-1 ,-1 ,-1 ,-1 ,-1 ,,"BITE:HURT:1d6
BITE:HURT:1d6
BITE:HURT:1d6",,,ATTR_CLEAR|FRIENDS|INVISIBLE|BASH_DOOR,,完全に半透明の犬だ。,"A completely translucent hound.
",J0#,,,,
283,283,アンバーハルク,Umber hulk,X,u,0,-1,XORN,XORN,VARIABLE,NONE,NONE,ORDINARY,NONE,NONE,16,1,50,75,0,0,0,0,200,NONE,NONE,-1,0,20,50,0,0,10,14,14,14,14,14,14,5,165,10,550,3,165,10,550,3,-1 ,-1 ,-1 ,-1 ,-1 ,-1 ,-1 ,-1 ,-1 ,,"GAZE:CONFUSE
HIT:HURT:1d6
HIT:HURT:1d6
BITE:HURT:2d6",,,COLD_BLOOD|BASH_DOOR|KILL_WALL|IM_POIS|HURT_ROCK|NO_CONF|NO_SLEEP,,この奇怪な生物はギラギラ光る目と、岩をも切り裂く巨大なアゴを持っている。,"This bizarre creature has glaring eyes and large mandibles capable of 
slicing through rock.
",J0#,,,,
284,284,錆の怪物,Rust monster,q,o,0,-1,QUADRUPED,QUADRUPED,VARIABLE,NONE,NONE,ORDINARY,NONE,NONE,16,2,50,3700,500,399,0,0,200,NONE,NONE,-1,0,12,55,0,0,10,14,14,14,14,14,14,5,165,10,550,3,165,10,550,3,-1 ,-1 ,-1 ,-1 ,-1 ,-1 ,-1 ,-1 ,-1 ,,"TOUCH:ACID:1d10
TOUCH:ACID:1d10
TOUCH:ACID:1d10
TOUCH:ACID:1d10",,,STUPID|WEIRD_MIND|KILL_ITEM|IM_ACID|IM_POIS|NO_CONF|EAT_ACIDIC,,額から二本の触角が生えた奇妙な小動物だ。それは空腹のようだ。,"It is a weird, small animal with two antennae popping forth from 
its forehead. It looks hungry.
",JZ#,,,,
285,285,オークの傭兵隊長,Orc's Mercenary Captain,o,g,0,-1,ORC,ORC,VARIABLE,PALADIN,NONE,ORDINARY,NONE,NONE,22,3,50,700,0,0,0,0,200,NONE,NONE,-1,0,20,0,0,0,20,19,11,11,14,18,15,5,180,13,750,5,170,13,650,5,-1 ,-1 ,-1 ,-1 ,-1 ,-1 ,-1 ,-1 ,-1 ,,"SHOOT:HURT:3d6
HIT:HURT:3d4
HIT:HURT:3d4
HIT:HURT:3d4",,,WILD_ALL|OPEN_DOOR|BASH_DOOR|RES_DARK|CAN_SPEAK|SHOOT,,鎧を着たオークで、威厳のある雰囲気を漂わせながら、恐るべき鬨の声と共に部隊を指揮している。,,J0#,,,,
286,286,ゼラチナス・キューブ,Gelatinous cube,j,B,0,-1,JELLY,JELLY,VARIABLE,NONE,NONE,ORDINARY,NONE,NONE,16,4,50,80,800,541,0,0,200,NONE,NONE,-1,0,12,18,0,0,1,14,14,14,14,14,14,5,300,20,81000,10,300,20,81000,10,-1 ,-1 ,-1 ,-1 ,-1 ,-1 ,-1 ,-1 ,-1 ,,"TOUCH:ACID:1d10
TOUCH:ACID:1d10
TOUCH:ACID:1d10",,,STUPID|EMPTY_MIND|COLD_BLOOD|TAKE_ITEM|OPEN_DOOR|BASH_DOOR|CAN_SWIM|IM_ACID|IM_FIRE|IM_COLD|IM_ELEC|IM_POIS|NO_CONF|NO_SLEEP|FEARLESS|VARIABLE_SIZE,,"それは立方形をした奇妙で巨大なゼリー状の構造物で、部屋の
四方の壁に沿って並んでいる。その透明な体の中には、飲み込まれた財宝と
いくらかの死骸を見て取ることができる。","It is a strange, vast gelatinous structure that assumes cubic proportions 
as it lines all four walls of the corridors it patrols.  Through its 
transparent jelly structure you can see treasures it has engulfed, and a 
few corpses as well.


",J0#,,,,
287,287,巨大緑トンボ,Giant green dragon fly,F,G,0,-1,INSECT,INSECT,VARIABLE,NONE,NONE,ORDINARY,NONE,NONE,16,2,50,70,0,0,0,0,200,NONE,NONE,-1,0,12,20,0,0,50,14,14,14,14,14,14,5,165,10,550,3,165,10,550,3,-1 ,-1 ,-1 ,-1 ,-1 ,-1 ,-1 ,-1 ,-1 ,,BITE:POISON:1d6,,,FORCE_SLEEP|RAND_50|RAND_25|WILD_SWAMP|WEIRD_MIND|BASH_DOOR|CAN_FLY|IM_POIS|BR_POIS,,不快な匂いを発する巨大なトンボだ。,"A vast, foul-smelling dragonfly.
",J0#,,,,
288,288,ファイアー・ジャイアント,Fire giant,P,r,0,-1,GIANT,GIANT,VARIABLE,NONE,NONE,ORDINARY,NONE,NONE,16,2,50,54,2000,893,0,0,200,NONE,NONE,-1,0,20,60,0,0,50,14,14,14,14,14,14,5,165,10,550,3,165,10,550,3,-1 ,-1 ,-1 ,-1 ,-1 ,-1 ,-1 ,-1 ,-1 ,,"HIT:FIRE:3d7
HIT:FIRE:3d7",,,SELF_LITE_1|OPEN_DOOR|BASH_DOOR|WILD_VOLCANO|AURA_FIRE|IM_FIRE|EAT_GIVE_STR,,"背の高さが 4 メートル以上もある輝く巨人だ。
その赤い肌からは炎がにじみでている。","A glowing fourteen foot tall giant.  Flames drip from its red skin.
 4 
",J0#,,,,
289,289,ハマーホーン,Hummerhorn,I,y,0,-1,INSECT,INSECT,VARIABLE,NONE,NONE,ORDINARY,NONE,NONE,16,5,50,4,0,0,0,0,200,NONE,NONE,-1,10,8,14,0,0,10,14,14,14,14,14,14,5,165,10,550,3,165,10,550,3,-1 ,-1 ,-1 ,-1 ,-1 ,-1 ,-1 ,-1 ,-1 ,,BITE:CONFUSE:2d2,,,RAND_50|RAND_25|CAN_FLY|MULTIPLY|WEIRD_MIND,,羽音をたてる巨大な昆虫で、その刺には毒がある。,"A giant buzzing wasp, its stinger drips venom.
",J0#,,,,
290,290,リザードマン,Lizardman,h,R,0,-1,LIZARDMAN,LIZARDMAN,VARIABLE,NONE,NONE,ORDINARY,NONE,NONE,16,3,50,55,800,332,0,0,200,NONE,NONE,-1,0,20,40,0,0,20,14,14,14,14,14,14,5,165,10,550,3,165,10,550,3,-1 ,-1 ,-1 ,-1 ,-1 ,-1 ,-1 ,-1 ,-1 ,,"HIT:HURT:4d4
HIT:HURT:4d4",,,CAN_SWIM|IM_ACID|HAS_LITE_1|FRIENDS|WILD_SHORE|OPEN_DOOR|BASH_DOOR,,深淵からやってきた知性を持ったトカゲだ。,"Intelligent lizard beings from the depths.
",JZ#,,,,
291,291,ウルファングの息子『ウルファスト』,"Ulfast, Son of Ulfang",p,o,0,-1,BARBARIAN,BARBARIAN,VARIABLE,ROGUE,NONE,ORDINARY,NONE,NONE,16,3,50,1987,0,0,0,0,200,NONE,NONE,-1,0,20,0,0,0,40,14,14,14,14,14,14,5,165,10,550,3,165,10,550,3,-1 ,-1 ,-1 ,-1 ,-1 ,-1 ,-1 ,-1 ,-1 ,,"HIT:HURT:3d5
HIT:HURT:3d5
HIT:HURT:3d5
HIT:HURT:3d5",,,UNIQUE|CAN_SPEAK|TAKE_ITEM|OPEN_DOOR|BASH_DOOR,,背が低くて浅黒い肌をした東夷だ。,"A short and swarthy Easterling.
",J0#,,,,
292,292,シュモクザメ,Hammerhead,l,b,0,-1,AQUARIC_MONSTER,AQUARIC_MONSTER,VARIABLE,NONE,NONE,ORDINARY,NONE,NONE,16,3,50,1412,300,317,0,0,200,NONE,NONE,-1,5,20,59,0,0,20,14,14,14,14,14,14,5,165,10,550,3,165,10,550,3,-1 ,-1 ,-1 ,-1 ,-1 ,-1 ,-1 ,-1 ,-1 ,,"BITE:HURT:4d4
BUTT:HURT:4d4
BITE:HURT:4d4",,,AQUATIC|WILD_ALL|RES_WATE,,奇妙な頭をした飢えた鮫だ。,"A hungry shark with a strange head.
",JZ#,,,,
293,293,バーサーカー,Berserker,p,u,0,-1,VARIABLE,VARIABLE,VARIABLE,NONE,NONE,ORDINARY,NONE,NONE,16,3,50,50,0,0,0,0,200,NONE,NONE,-1,3,20,0,0,0,20,14,14,14,14,14,14,5,165,10,550,3,165,10,550,3,-1 ,-1 ,-1 ,-1 ,-1 ,-1 ,-1 ,-1 ,-1 ,,"HIT:SUPERHURT:4d4
HIT:SUPERHURT:4d4
HIT:SUPERHURT:4d4",,,FEARLESS|NO_STUN|BASH_DOOR|OPEN_DOOR|HAS_LITE_1|WILD_WASTE|EAT_BERSERKER,,戦闘狂乱状態の戦士だ。彼が止まるのは倒れた時のみだろう。,"A warrior in a battle-frenzy; he'll stop only when he drops.
",JZ#,,,,
294,294,クアシト,Quasit,u,W,0,-1,IMP,IMP,VARIABLE,NONE,NONE,ORDINARY,NONE,NONE,16,2,50,50,10000,649,0,0,200,NONE,NONE,-1,0,20,30,0,0,20,14,14,14,14,14,14,5,165,10,550,3,165,10,550,3,-1 ,-1 ,-1 ,-1 ,-1 ,-1 ,-1 ,-1 ,-1 ,,"BITE:LOSE_DEX:1d6
CLAW:HURT:1d3
CLAW:HURT:1d3",,,FORCE_SLEEP|CAN_FLY|RAND_25|SMART|INVISIBLE|BASH_DOOR|IM_FIRE|NONLIVING|BLINK|ACTIVE_TELEPORT|TELE_TO|TELE_LEVEL|BLIND|CONF|SCARE,,カオティック・エビル・マスターのお気に入りのペットだ。,"The chaotic evil master's favourite pet.
","J0#
J0#
J0#(コメント)
J0#「クァジット」とも読むという指摘を受けたが、私は jnethack で「クアシト」
J0# という呼び名に親しんでいたので、こうしてある。
J0#",,,,
295,295,スフィンクス,Sphinx,H,o,0,-1,QUADRUPED,QUADRUPED,VARIABLE,NONE,NONE,ORDINARY,NONE,NONE,17,2,50,3870,0,0,0,0,200,NONE,NONE,-1,0,20,80,0,0,20,14,14,14,14,14,14,5,165,10,550,3,165,10,550,3,-1 ,-1 ,-1 ,-1 ,-1 ,-1 ,-1 ,-1 ,-1 ,,"CLAW:HURT:2d6
CLAW:HURT:2d6",,,FORCE_SLEEP|RIDING|CAN_FLY|OPEN_DOOR|BASH_DOOR|WILD_MOUNTAIN|SCARE|CONF,,そのなぞなぞに答えられなかったらあなたは食べられてしまうだろう。,"It will eat you if you cannot answer its riddle.
",JZ#,,,,
296,296,インプ,Imp,u,r,0,-1,IMP,IMP,VARIABLE,NONE,NONE,ORDINARY,NONE,NONE,17,2,50,55,1000,566,0,0,200,NONE,NONE,-1,0,20,30,0,0,20,14,14,14,14,14,14,5,165,10,550,3,165,10,550,3,-1 ,-1 ,-1 ,-1 ,-1 ,-1 ,-1 ,-1 ,-1 ,,"HIT:POISON:3d4
HIT:POISON:3d4",,,FORCE_SLEEP|CAN_FLY|RAND_25|SMART|INVISIBLE|COLD_BLOOD|BASH_DOOR|IM_FIRE|RES_TELE|BLINK|ACTIVE_TELEPORT|TELE_TO|TELE_LEVEL|BLIND|CONF|SCARE|BO_FIRE,,ローフル・エビル・マスターのお気に入りのペットだ。,"The lawful evil master's favourite pet.
",J0#,,,,
297,297,森トロル,Forest troll,T,G,0,-1,TROLL,TROLL,VARIABLE,NONE,NONE,ORDINARY,NONE,NONE,17,1,50,1080,500,401,0,0,200,NONE,NONE,-1,0,20,50,0,0,40,14,14,14,14,14,14,5,0,0,0,0,0,0,0,0,-1 ,-1 ,-1 ,-1 ,-1 ,-1 ,-1 ,-1 ,-1 ,,"HIT:HURT:1d4
HIT:HURT:1d4
BITE:HURT:1d6",,,FRIENDS|WILD_WOOD|OPEN_DOOR|BASH_DOOR|REGENERATE|HURT_LITE,,彼の肌は緑色で醜い。,"He is green skinned and ugly.
",J0#,,,,
298,298,凍った球体,Freezing sphere,*,w,0,-1,ELEMENTAL,ELEMENTAL,VARIABLE,NONE,NONE,ORDINARY,NONE,NONE,17,1,50,50,0,0,0,0,200,NONE,NONE,-1,10,100,30,0,0,0,14,14,14,14,14,14,5,165,10,550,3,165,10,550,3,-1 ,-1 ,-1 ,-1 ,-1 ,-1 ,-1 ,-1 ,-1 ,,EXPLODE:COLD:8d8,,,FORCE_SLEEP|CAN_FLY|COLD_BLOOD|EMPTY_MIND|AURA_COLD|HURT_FIRE|IM_COLD|FEARLESS|NO_CONF|NO_SLEEP|NONLIVING,,寒さが物質化したものだ。,"The embodiment of cold.
",JZ#,,,,
299,299,跳ねる火の玉,Jumping fireball,*,r,0,-1,ELEMENTAL,ELEMENTAL,VARIABLE,NONE,NONE,ORDINARY,NONE,NONE,17,1,50,50,0,0,0,0,200,NONE,NONE,-1,10,100,30,0,0,0,14,14,14,14,14,14,5,165,10,550,3,165,10,550,3,-1 ,-1 ,-1 ,-1 ,-1 ,-1 ,-1 ,-1 ,-1 ,,EXPLODE:FIRE:8d8,,,FORCE_SLEEP|CAN_FLY|SELF_LITE_2|EMPTY_MIND|AURA_FIRE|HURT_COLD|IM_FIRE|FEARLESS|NO_CONF|NO_SLEEP|NONLIVING,,熱が物質化したものだ。,"The embodiment of heat.
",JZ#,,,,
300,300,電気の球体,Ball lightning,*,B,0,-1,ELEMENTAL,ELEMENTAL,VARIABLE,NONE,NONE,ORDINARY,NONE,NONE,17,1,50,50,0,0,0,0,200,NONE,NONE,-1,10,100,30,0,0,0,14,14,14,14,14,14,5,165,10,550,3,165,10,550,3,-1 ,-1 ,-1 ,-1 ,-1 ,-1 ,-1 ,-1 ,-1 ,,EXPLODE:ELEC:8d8,,,FORCE_SLEEP|CAN_FLY|SELF_LITE_2|EMPTY_MIND|AURA_ELEC|IM_ELEC|FEARLESS|NO_CONF|NO_SLEEP|NONLIVING,,スパークするエネルギーの球体だ。,"A crackling ball of energy.
",JZ#,,,,
301,301,双頭ヒドラ,2-headed hydra,M,u,0,-1,HYDRA,HYDRA,VARIABLE,NONE,NONE,ORDINARY,NONE,NONE,17,2,50,80,1200,387,0,0,200,NONE,NONE,-1,0,20,60,0,0,20,14,14,14,14,14,14,5,165,10,550,3,165,10,550,3,-1 ,-1 ,-1 ,-1 ,-1 ,2 ,-1 ,-1 ,-1 ,,"BITE:HURT:2d6
BITE:HURT:2d6",,,FORCE_SLEEP|WILD_SHORE|WILD_SWAMP|CAN_SWIM|OPEN_DOOR|BASH_DOOR|MOVE_BODY|RIDING|SCARE,,二つの首を持った奇妙な雑種の爬虫類で、蓄えた財宝を守っている。,"A strange reptilian hybrid with two heads, guarding its hoard.
",J0#,,,,
302,302,怪奇苔男,Swamp thing,H,g,0,-1,BEASTMAN,BEASTMAN,VARIABLE,NONE,NONE,ORDINARY,NONE,NONE,17,2,50,1099,0,0,0,0,200,NONE,NONE,-1,0,20,60,0,0,30,14,14,14,14,14,14,5,165,10,550,3,165,10,550,3,-1 ,-1 ,-1 ,-1 ,-1 ,-1 ,-1 ,-1 ,-1 ,,"CLAW:TERRIFY:2d5
CLAW:TERRIFY:5d2",,,CAN_SWIM|OPEN_DOOR|BASH_DOOR|WILD_SWAMP,,"昔は人間だったが、今は苔のように緑だ。事故にあって火ダルマになり
沼に飛び込んだ科学者が、苔や藻と融合して生まれた。","A creature that was once human, but is now as green as moss.

",,,,,
303,303,水のスピリット,Water spirit,E,b,0,-1,ELEMENTAL,ELEMENTAL,VARIABLE,NONE,NONE,ORDINARY,NONE,NONE,17,1,50,58,1200,512,0,0,200,NONE,NONE,-1,10,12,28,0,0,40,14,14,14,14,14,14,5,165,10,550,3,165,10,550,3,-1 ,-1 ,-1 ,-1 ,-1 ,-1 ,-1 ,-1 ,-1 ,,"HIT:HURT:2d4
HIT:HURT:2d4",,,RAND_25|EMPTY_MIND|COLD_BLOOD|BASH_DOOR|IM_POIS|CAN_FLY|NONLIVING|NO_CONF|NO_SLEEP|FEARLESS,,知能を持った液体の渦巻きだ。,"A whirlpool of sentient liquid.
",J0#,,,,
304,304,巨大赤サソリ,Giant red scorpion,S,R,0,-1,SPIDER,SPIDER,VARIABLE,NONE,NONE,ORDINARY,NONE,NONE,17,1,50,62,400,369,0,0,200,NONE,NONE,-1,0,12,44,0,0,20,14,14,14,14,14,14,5,165,10,550,3,165,10,550,3,-1 ,-1 ,-1 ,-1 ,-1 ,-1 ,-1 ,-1 ,-1 ,,"BITE:HURT:2d4
STING:LOSE_STR:1d7",,,WEIRD_MIND|BASH_DOOR|WILD_ALL,,その動きは素早く、毒を持っている。,"It is fast and poisonous.
",JZ#,,,,
305,305,地のスピリット,Earth spirit,E,U,0,-1,ELEMENTAL,ELEMENTAL,VARIABLE,NONE,NONE,ORDINARY,NONE,NONE,17,2,50,64,1200,525,0,0,200,NONE,NONE,-1,10,10,40,0,0,50,14,14,14,14,14,14,5,165,10,550,3,165,10,550,3,-1 ,-1 ,-1 ,-1 ,-1 ,-1 ,-1 ,-1 ,-1 ,,"HIT:HURT:1d8
HIT:HURT:1d8",,,RAND_25|EMPTY_MIND|COLD_BLOOD|PASS_WALL|CAN_FLY|NONLIVING|IM_FIRE|IM_COLD|IM_ELEC|IM_POIS|RES_SHAR|HURT_ROCK|NO_CONF|NO_SLEEP|FEARLESS,,知能を持った岩が渦巻いたような姿をしている。,"A whirling form of sentient rock.
",J0#,,,,
306,306,火のスピリット,Fire spirit,E,R,0,-1,ELEMENTAL,ELEMENTAL,VARIABLE,NONE,NONE,ORDINARY,NONE,NONE,18,2,50,75,1200,510,0,0,200,NONE,NONE,-1,10,16,30,0,0,20,14,14,14,14,14,14,5,165,10,550,3,165,10,550,3,-1 ,-1 ,-1 ,-1 ,-1 ,-1 ,-1 ,-1 ,-1 ,,"HIT:FIRE:2d6
HIT:FIRE:2d6",,,RAND_25|SELF_LITE_1|EMPTY_MIND|BASH_DOOR|CAN_FLY|NONLIVING|HURT_COLD|IM_FIRE|IM_POIS|WILD_VOLCANO|NO_CONF|NO_SLEEP|FEARLESS|AURA_FIRE,,知能を持った火炎の渦巻きだ。,"A whirlwind of sentient flame.
",J0#,,,,
307,307,ファイア・ハウンド,Fire hound,Z,r,0,-1,ZEPHYR_HOUND,ZEPHYR_HOUND,VARIABLE,NONE,NONE,ORDINARY,NONE,NONE,15,1,50,70,0,0,0,0,200,NONE,NONE,-1,0,30,30,0,0,0,15,12,12,17,11,13,5,165,10,550,3,165,10,550,3,-1 ,-1 ,-1 ,-1 ,-1 ,-1 ,-1 ,-1 ,-1 ,,"BITE:HURT:2d3
BITE:HURT:2d3
BITE:FIRE:2d3",,,FORCE_SLEEP|SELF_LITE_2|FRIENDS|BASH_DOOR|HURT_COLD|IM_FIRE|BR_FIRE,,"火炎がその足下から立ちのぼり、その舌はまるで炎の剣のようだ。この生物が
発散する熱気を浴びると、まるで溶鉱炉に投げ込まれたかのような感じがする。","Flames lick at its feet and its tongue is a blade of fire.  You can feel a 
furnace heat radiating from the creature.

",J0#,,,,
