"ID","NAME","E_NAME","SYM","COL","RACE1","RACE2","SEX","CLASS","PATRON","CHARA","RELM1","RELM2","LEV","RARE","Z","EXP","N_EXP","N_MIN","AGE","SC","FATHER","MOTHER","DV","SP","VIS","AC","ALERT","STR","INT","WIS","DEX","CON","CHA","M_HB","M_HM","M_WB","M_WM","F_HB","F_HM","F_WB","F_WM","BATTLE","UNDERLING","ARTIFACT","FLAG","ACTION","AUTHORITY","DESCRIPTION","E_DESCRIPTION","COMMENT",,,,,
313,"レッサー・ウルク","Lesser Uruk","o","w","URUK","URUK","0x01","NONE","NONE","NONE",0,0,47,1,0,5000,0,0,0,0,"NONE","NONE",0,120,20,0,20,19,19,19,19,19,19,215,10,123,3,210,10,112,3,"SHOOT:HURT:3d5
HIT:HURT:3d5
HIT:HURT:3d5",,,"FORCE_MAXHP|FRIENDS|DROP_60|OPEN_DOOR|BASH_DOOR|DROP_SKELETON|DROP_CORPSE|EAT_POISONOUS|IM_POIS|RES_DARK","1_IN_12|SHOOT",,"彼らは自らをメルコールの正嫡と呼ぶ東方の大帝国モルドールの特権階級だ。
彼らにとっては征服と支配が全てであり、
老若男女のほとんどが戦いの生涯を過ごす神軍の兵士である。","

","J0#",,,,,
314,"キリス・ウンゴルの『シャグラト』","Shagrat of Cirith Ungol","o","u","URUK","URUK","0x02","ROGUE","NONE",6,"SORCERY",0,52,2,0,11500,0,0,0,0,"NONE","NONE",2,110,20,0,20,22,20,19,21,20,22,227,0,128,0,0,0,0,0,"HIT:HURT:3d8
HIT:HURT:3d8
HIT:HURT:3d5
HIT:HURT:3d5",,,"UNIQUE|CAN_SPEAK|FORCE_MAXHP|ESCORT|DROP_SKELETON|DROP_CORPSE|EAT_POISONOUS|ONLY_ITEM|DROP_1D2|DROP_GOOD|OPEN_DOOR|BASH_DOOR|IM_POIS|RES_DARK",,,"モルドールの要衝、キリス・ウンゴルで備えの一つを守るウルクの将の一人だ。ウフサクとは浅からぬ交友があり、共に轡を並べて武勲を上げた回数は数え切れない。","
","J0#",,,,,
315,"ミナス・モルグルの『ゴルバグ』","Gorbag of Minas Morgul","o","u","URUK","URUK","0x02","WARRIOR","NONE",1,0,0,52,2,0,12000,0,0,0,0,"NONE","NONE",2,110,20,0,20,23,20,18,21,20,22,241,0,129,0,0,0,0,0,"HIT:HURT:3d8
HIT:HURT:3d8
HIT:HURT:3d5
HIT:HURT:3d5",,,"UNIQUE|CAN_SPEAK|FORCE_MAXHP|ESCORT|DROP_SKELETON|DROP_CORPSE|EAT_POISONOUS|ONLY_ITEM|DROP_1D2|DROP_GOOD|OPEN_DOOR|BASH_DOOR|IM_POIS|RES_DARK",,,"　西の辺境最前線である、ミナス・モルグルで毎日のように出撃を繰り返し、権益を武力で確保するウルクの将軍の一人だ。
　帝都ルグブルズで起こした諍いからシャグラトと何度か決闘を繰り返しているが、未だに決着がつかないらしい。","

","J0#",,,,,
316,"よろめき歩く塊","Shambling mound",",","g","FUNGUS","FUNGUS","0x01","NONE","NONE","NONE",0,0,18,2,0,75,0,0,0,0,"NONE","NONE",-1,110,20,16,40,14,14,14,14,14,14,165,10,55,3,165,10,55,3,"HIT:HURT:1d8
HIT:HURT:1d8",,,"ONLY_GOLD|DROP_90|WILD_SWAMP|STUPID|EMPTY_MIND|OPEN_DOOR|BASH_DOOR|NO_CONF|NO_SLEEP|NO_FEAR","1_IN_4|SHRIEK",,"　悪臭を振りまいて付近のものを目覚めさせながらはいずり回る、腐った植物の塊だ。","A pile of rotting vegetation that slides towards you with a disgusting 
stench, waking all it nears.
","J0#",,,,,
317,"白鮫","White shark","l","W","AQUARIC_MONSTER","AQUARIC_MONSTER","0x01","NONE","NONE","NONE",0,0,18,1,0,1982,400,386,0,0,"NONE","NONE",-1,120,20,50,10,14,14,14,14,14,14,165,10,55,3,165,10,55,3,"BITE:HURT:3d5
BITE:HURT:3d5",,,"AQUATIC|WILD_ALL|RES_WATE",,,"　素早く動く深海のハンターだ。この怪物が動く時、水棲生物全てが恐怖する！","Fast moving hunter of the depths, when this creature moves, 
everybody in water is in danger!

！","JZ#
JZ#某ロマ・サガシリーズをやってたら女性特効の技がこの類の敵に効いたんです。
JZ#だから『彼女』でス。　　　　　　　　　　by 閑丸",,,,,
318,"混沌の獣人","Chaos beastman","H","u","BEASTMAN","BEASTMAN","0x01","NONE","NONE","NONE",0,0,18,2,0,1578,0,0,0,0,"NONE","NONE",-1,110,20,50,30,14,14,14,14,14,14,165,10,55,3,165,10,55,3,"HIT:CONFUSE:3d5
HIT:EXP_20:3d5",,,"DROP_1D2|OPEN_DOOR|BASH_DOOR|NO_CONF|NO_SLEEP|DROP_CORPSE|IM_POIS|IM_FIRE|ATTR_ANY|ATTR_MULTI|EAT_CONF|EAT_DRAIN_EXP|EAT_INSANITY","1_IN_8|MISSILE|BO_FIRE|CONF|TPORT",,"　カオスに歪められた、本当に忌まわしい存在で、何種類かの 生物の混ざった姿だ。","A truly loathsome thing, twisted by chaos, it is a mixture 
of several different kinds of creature.

","JZ#",,,,,
319,"<スラーネッシュ>の女悪魔","Daemonette of Slaanesh","u","R","IMP","IMP","0x01","WARRIOR_MAGE",1140,"NONE",0,0,18,2,0,75,0,0,0,0,"NONE","NONE",-1,120,20,50,30,14,14,14,14,14,14,165,10,55,3,165,10,55,3,"CLAW:CONFUSE:3d5
CLAW:CONFUSE:3d5",,,"FORCE_MAXHP|DROP_60|OPEN_DOOR|BASH_DOOR|IM_COLD|NO_CONF|NO_SLEEP|IM_POIS|IM_FIRE","1_IN_8|SCARE|S_DEMON|CAUSE_2|CONF|BO_FIRE|BO_COLD",,"　下級の女性型悪魔で、概ね人間型をしているが、手の代わりに 蟹のようなハサミがある。かなりきわどいボロ皮のビキニを 着ていて、素早く動き、致命的な呪文を唱えてくる。","It is minor female demon, vaguely human-like, but with crab-like 
pincers instead of hands. She wears a rather indecent skimpy 
leather bikini, moves quickly and casts deadly spells!


","JZ#",,,,,
320,"巨大ブロンズ・トンボ","Giant bronze dragon fly","F","U","INSECT","INSECT","0x01","NONE","NONE","NONE",0,0,18,1,0,70,0,0,0,0,"NONE","NONE",-1,120,12,20,50,14,14,14,14,14,14,165,10,55,3,165,10,55,3,,,,"FORCE_SLEEP|NEVER_BLOW|RAND_50|RAND_25|CAN_FLY|WEIRD_MIND|BASH_DOOR|WILD_MOUNTAIN|NO_CONF|NO_SLEEP","1_IN_9|BR_CONF",,"青銅の光沢を持った巨大なトンボで、その単調な羽音は人に眠気を
もよおさせる。","This vast gleaming bronze fly has wings which beat mesmerically fast.

","J0#",,,,,
321,"ストーン・ジャイアント","Stone giant","P","s","GIANT","GIANT","0x01","NONE","NONE","NONE",0,0,18,1,0,90,20000,709,0,0,"NONE","NONE",-1,110,20,75,50,14,14,14,14,14,14,165,10,55,3,165,10,55,3,"HIT:HURT:3d8
HIT:HURT:3d8",,,"DROP_60|TAKE_ITEM|OPEN_DOOR|BASH_DOOR|DROP_SKELETON|DROP_CORPSE|WILD_MOUNTAIN|EAT_GIVE_STR",,,"それは背丈が 5 メートル以上もあって、冒険者を見下ろしている。","It is eighteen feet tall and looking at you.
 5 ","J0#",,,,,
322,"巨大黒トンボ","Giant black dragon fly","F","D","INSECT","INSECT","0x01","NONE","NONE","NONE",0,0,18,2,0,68,0,0,0,0,"NONE","NONE",-1,120,12,20,50,14,14,14,14,14,14,165,10,55,3,165,10,55,3,,,,"FORCE_SLEEP|NEVER_BLOW|RAND_50|RAND_25|WEIRD_MIND|BASH_DOOR|CAN_FLY|WILD_SWAMP|IM_ACID","1_IN_9|BR_ACID",,"鳥ほどの大きさがあるトンボで、腐食性の酸をしたたらせている。","The size of a large bird, this fly drips caustic acid.
","J0#",,,,,
323,"石ゴーレム","Stone golem","g","s","GOLEM","GOLEM","0x01","NONE","NONE","NONE",0,0,19,2,0,100,0,0,0,0,"NONE","NONE",-1,100,12,75,10,14,14,14,14,14,14,165,10,55,3,165,10,55,3,"HIT:HURT:1d10
HIT:HURT:1d10",,,"COLD_BLOOD|BASH_DOOR|IM_FIRE|IM_COLD|IM_ELEC|IM_POIS|HURT_ROCK|NO_CONF|NO_SLEEP|NO_FEAR|NONLIVING",,,"それは生命を吹き込まれた堂々たる石像だ。","It is a massive animated statue.
","J0#",,,,,
324,"レッド・モルド","Red mold","m","r","MOLD","MOLD","0x01","NONE","NONE","NONE",0,0,19,1,0,64,5000,711,0,0,"NONE","NONE",-1,110,2,16,70,14,14,14,14,14,14,165,10,55,3,165,10,55,3,"SPORE:FIRE:4d4",,,"NEVER_MOVE|STUPID|EMPTY_MIND|IM_FIRE|IM_POIS|CAN_SWIM|NO_CONF|NO_SLEEP|NO_FEAR",,,"それはダンジョンの床に生えている奇妙な赤いカビで、炎に燃えているようだ。","It is a strange red growth on the dungeon floor; it seems to burn with 
flame.
","J0#",,,,,
325,"巨大ゴールド・トンボ","Giant gold dragon fly","F","y","INSECT","INSECT","0x01","NONE","NONE","NONE",0,0,18,2,0,78,0,0,0,0,"NONE","NONE",-1,120,12,20,50,14,14,14,14,14,14,165,10,55,3,165,10,55,3,"BITE:HURT:1d3",,,"FORCE_SLEEP|RAND_50|RAND_25|WILD_MOUNTAIN|WEIRD_MIND|BASH_DOOR|IM_FIRE|RES_SOUN|CAN_FLY","1_IN_9|BR_SOUN",,"激しくはばたく長い羽を持ち、光沢のある体をした昆虫だ。
やかましい羽音を部屋中に響かせている。","Large beating wings support this dazzling insect.  A loud buzzing noise 
pervades the air.

","J0#",,,,,
326,"スタンウォール","Stunwall","#","W","MIMIC","MIMIC","0x01","NONE","NONE","NONE",0,0,18,5,0,50,0,0,0,0,"NONE","NONE",-1,110,45,25,0,14,14,14,14,14,14,165,10,55,3,165,10,55,3,"TOUCH:PARALYZE:10d1
TOUCH:PARALYZE:10d1",,,"NEVER_MOVE|IM_COLD|COLD_BLOOD|IM_ACID|IM_ELEC|RES_SHAR|NO_FEAR|IM_FIRE|IM_POIS|NO_CONF|NO_SLEEP|CHAR_MULTI|EMPTY_MIND|HURT_ROCK",,,"意識を持った壁の一部だ。","A sentient section of wall.
","JZ#",,,,,
327,"ガースト","Ghast","z","U","HUMAN","HUMAN","0x01","NONE","NONE","NONE",0,0,19,1,0,75,0,0,0,0,"NONE","NONE",-1,110,40,40,20,14,14,14,14,14,14,165,10,55,3,165,10,55,3,"KICK:HURT:3d3
KICK:HURT:9d1
BITE:HURT:6d2",,,"ZOMBIE|DROP_60|NO_SLEEP|NO_CONF|IM_POIS|IM_COLD|COLD_BLOOD|HURT_LITE|RES_NETH|CAN_SWIM|ELDRITCH_HORROR|BASH_DOOR|OPEN_DOOR",,,"カンガルーのような長い後脚で飛び跳ねるむかつくような生き物。奇妙
にも、その顔は鼻と額と「その他重要な特徴」が無い事を除けば人間に
似ている。","A repulsive being which leaps on long hind legs like a kangaroo. 
Its face is curiously human despite the absence of a nose, a 
forehead, and ""other important particulars"".


","JZ#
JZ#ガースト
JZ#Ｈ・Ｐ・ラヴクラフトの「幻夢境カダスを求めて」に登場。
JZ#カンガルーのように長い後脚で跳ねる生物です。 by 久留さん",,,,,
328,"イクシツザチトル・プリースト","Ixitxachitl priest","l","s","AQUARIC_MONSTER","AQUARIC_MONSTER","0x01","NONE","NONE","NONE",0,0,19,1,0,2311,0,0,0,0,"NONE","NONE",-1,110,20,40,20,14,14,14,14,14,14,165,10,55,3,165,10,55,3,"STING:POISON:2d7
STING:POISON:2d7",,,"AQUATIC|IM_POIS|RES_WATE|WILD_ALL","1_IN_6|TELE_TO|HEAL|SCARE|CAUSE_2|BLIND|S_MONSTER",,"深海に棲む悪魔のエイで、僧侶の呪文を使う。","A devil ray of the depths, with priestly magic.
",,,,,,
329,"フオルン","Huorn","#","g","ENT","ENT","0x01","NONE","NONE","NONE",0,0,19,1,0,75,15000,708,0,0,"NONE","NONE",-1,110,40,45,20,14,14,14,14,14,14,165,10,55,3,165,10,55,3,"CRUSH:HURT:3d6
CRUSH:HURT:3d6
CRUSH:HURT:3d6
CRUSH:HURT:3d6",,,"DROP_CORPSE|DROP_60|NO_SLEEP|NO_CONF|WEIRD_MIND|RES_WATE|IM_COLD|HURT_FIRE|NEVER_MOVE|WILD_ONLY|WILD_WOOD","1_IN_9|BLINK|TELE_TO",,"非常に強い、半ば意識を持った樹で、人間の形をした生物に敵意を抱くように
なっている。もとはエントだったといわれている。","A very strong near-sentient tree, which has become hostile 
to humanoid forms of life.

","JZ#",,,,,
330,"オークの土侯『ボルグ』","Bolg, Lord of the Ork","o","R","ORC","ORC","0x02","PALADIN","NONE",4,0,0,42,4,0,8500,0,0,0,0,"NONE","NONE",0,115,20,0,20,24,15,22,20,20,14,221,0,121,0,0,0,0,0,"HIT:HURT:3d6
HIT:HURT:3d6
HIT:HURT:3d6
HIT:HURT:3d6",,,"UNIQUE|CAN_SPEAK|FORCE_MAXHP|ESCORT|DROP_SKELETON|DROP_CORPSE|EAT_POISONOUS|ONLY_ITEM|DROP_2D2|DROP_GOOD|OPEN_DOOR|BASH_DOOR|IM_POIS|RES_DARK",,,"オークの王アゾグの一人息子であるボルグは父親をもしのぐ武勇の持ち主だ。
指揮官としては浅慮過ぎると父親にたしなめられているが、
良かれ悪しかれその問題を力づくで克服している。","

","J0#",,,,,
331,"フェイズ・スパイダー","Phase spider","S","B","SPIDER","SPIDER","0x01","NONE","NONE","NONE",0,0,20,2,0,60,0,0,0,0,"NONE","NONE",-1,120,15,25,80,14,14,14,14,14,14,230,20,112,10,230,20,12,10,"BITE:HURT:1d8
BITE:POISON:1d6
BITE:POISON:1d6",,,"FRIENDS|WILD_WOOD|DROP_SKELETON|WEIRD_MIND|BASH_DOOR|CAN_SWIM|IM_POIS|RES_TELE","1_IN_5|BLINK|TELE_TO",,"一カ所に見定めることのできない蜘蛛だ。姿を一瞬見たかと思うと、次の瞬間には
消え失せていて、はっきりと姿を捉えることができない。","A spider that never seems quite there.  Everywhere you look it is just 
half-seen in the corner of one eye.

","J0#",,,,,
332,"リザードキング","Lizard king","h","R","LIZARDMAN","LIZARDMAN","0x01","NONE","NONE","NONE",0,0,20,3,0,150,0,0,0,0,"NONE","NONE",-1,120,20,40,20,14,14,14,14,14,14,165,10,55,3,165,10,55,3,"HIT:HURT:5d5
HIT:HURT:5d5
WAIL:TERRIFY",,,"CAN_SWIM|IM_ACID|IM_POIS|WILD_SHORE|DROP_60|DROP_1D2|DROP_CORPSE|OPEN_DOOR|BASH_DOOR|FORCE_MAXHP",,,"彼はリザードマン達の王だ。","A lizardman leader.
","JZ#",,,,,
333,"地雷","Landmine",0,"w","MIMIC","MIMIC","0x01","NONE","NONE","NONE",0,0,20,5,0,50,0,0,0,0,"NONE","NONE",-1,110,30,25,10,14,14,14,14,14,14,165,10,55,3,165,10,55,3,"EXPLODE:HURT:25d2",,,"CHAR_CLEAR|ATTR_CLEAR|NEVER_MOVE|FORCE_MAXHP|EMPTY_MIND|INVISIBLE|COLD_BLOOD|NO_CONF|NO_SLEEP|NO_FEAR",,,"それは侵入者に対して使用するために置かれている。","It was left here to be used against intruders.
","JZ#",,,,,
334,"ワイバーン","Wyvern","d","G","DRAGON","DRAGON","0x01","NONE","NONE","NONE",0,0,18,2,0,360,0,0,0,0,"NONE","NONE",-1,120,20,65,20,18,12,12,16,17,11,350,15,470,3,350,15,470,3,"BITE:HURT:2d6
BITE:HURT:2d6
BITE:HURT:2d6
STING:POISON:1d6",,,"FORCE_SLEEP|ONLY_GOLD|DROP_60|DROP_90|IM_POIS|CAN_FLY|OPEN_DOOR|BASH_DOOR|MOVE_BODY|WILD_WOOD|WILD_MOUNTAIN|DROP_SKELETON|DROP_CORPSE|RIDING|EAT_POISONOUS",,,"それは素早く動く危険なドラゴンのような生き物だ、
その毒爪には気をつけろ！","A fast-moving and deadly dragonian animal. Beware its poisonous sting!

！","JZ#
JZ#(コメント)訳は 紫月閑丸さん",,,,,
335,"大鷲","Great eagle","B","u","BIRD","BIRD","0x01","NONE","NONE","NONE",0,0,35,2,0,450,0,0,0,0,"NONE","NONE",0,135,20,65,20,17,17,17,17,17,17,165,10,55,3,165,10,55,3,"CLAW:HURT:6d3
CLAW:HURT:6d3
BITE:HURT:3d6",,,"CAN_FLY|WILD_ONLY|WILD_MOUNTAIN|WILD_VOLCANO|DROP_CORPSE|RIDING","1_IN_3|SPECIAL",,"マンウェに遣わされた偉大な大鷲は人の言葉を話し、
マイアールと同じ魂を持っていると言われる。
この大鷲はその一族の一員である。","An agent of supernatural beings, this creature looks like a 
huge eagle.


","JZ#
D:この生き物はなにか超自然的な存在の使いだ。 
D:そしてそれは大きなワシのように見える。",,,,,
336,"動く岩","Livingstone","#","W","MIMIC","MIMIC","0x01","NONE","NONE","NONE",0,0,20,4,0,30,700,448,0,0,"NONE","NONE",-1,110,45,28,20,14,14,14,14,14,14,165,10,55,3,165,10,55,3,"HIT:HURT:2d5
HIT:HURT:2d5",,,"MULTIPLY|NEVER_MOVE|IM_COLD|COLD_BLOOD|IM_ACID|IM_ELEC|NO_FEAR|IM_FIRE|IM_POIS|NO_CONF|NO_SLEEP|FRIENDS|CHAR_MULTI|HURT_ROCK|RES_SHAR",,,"意識を持った壁の一部だ。","A sentient section of wall.
","JZ#",,,,,
337,"アース・ハウンド","Earth hound","Z","u","ZEPHYR_HOUND","ZEPHYR_HOUND","0x01","NONE","NONE","NONE",0,0,17,1,0,180,0,0,0,0,"NONE","NONE",-1,110,30,30,0,15,12,12,17,11,13,165,10,55,3,165,10,55,3,"BITE:HURT:1d8
BITE:HURT:1d8
CLAW:HURT:3d3
CLAW:HURT:3d3",,,"FORCE_SLEEP|FRIENDS|BASH_DOOR|HURT_ROCK|RES_SHAR","1_IN_10|BR_SHAR",,"水晶のような美しい姿をしているが、一目見ればこのハウンドが危険な存在である
ことは明らかだ。それが近づいてくると、冒険者の体は興奮でゾクゾクとし
てくる。","A beautiful crystalline shape does not disguise the danger this hound 
clearly presents.  Your flesh tingles as it approaches.


","J0#",,,,,
338,"エア・ハウンド","Air hound","Z","B","ZEPHYR_HOUND","ZEPHYR_HOUND","0x01","NONE","NONE","NONE",0,0,17,1,0,180,0,0,0,0,"NONE","NONE",-1,110,30,30,0,15,12,12,17,11,13,165,10,55,3,165,10,55,3,"BITE:HURT:1d8
BITE:HURT:1d8
CLAW:HURT:3d3
CLAW:HURT:3d3",,,"FORCE_SLEEP|FRIENDS|CAN_FLY|BASH_DOOR|IM_POIS","1_IN_10|BR_POIS",,"渦巻く蒸気を体にまといながら、まるで空気の上を歩くかのように、宙を浮いて近づ
いてくる野獣だ。有害なガスが冒険者の喉を刺激する。","Swirling vapours surround this beast as it floats towards you, seemingly 
walking on air.  Noxious gases sting your throat.

","J0#",,,,,
339,"サーベル・タイガー","Sabre-tooth tiger","f","y","FELINE","FELINE","0x01","NONE","NONE","NONE",0,0,20,2,0,120,0,0,0,0,"NONE","NONE",-1,120,40,50,0,14,14,14,14,14,14,165,10,55,3,165,10,55,3,"CLAW:HURT:1d10
CLAW:HURT:1d10
BITE:HURT:1d10
BITE:HURT:1d10",,,"BASH_DOOR|WILD_WOOD|WILD_GRASS|DROP_SKELETON|DROP_CORPSE|EAT_SPEED",,,"どう猛で危険なネコであり、その巨大な牙と鋭い爪は最強の鎧でさえも切り
裂いてしまう。","A fierce and dangerous cat, its huge tusks and sharp claws would lacerate 
even the strongest armour.

","J0#",,,,,
340,"ウォーター・ハウンド","Water hound","Z","b","ZEPHYR_HOUND","ZEPHYR_HOUND","0x01","NONE","NONE","NONE",0,0,17,2,0,200,0,0,0,0,"NONE","NONE",-1,110,30,30,0,15,12,12,17,11,13,165,10,55,3,165,10,55,3,"BITE:ACID:2d8
BITE:ACID:2d8
CLAW:HURT:3d3
CLAW:HURT:3d3",,,"FORCE_SLEEP|FRIENDS|BASH_DOOR|CAN_SWIM|IM_ACID","1_IN_10|BR_ACID",,"しめった足跡を残しながらダンジョンを徘徊する犬だ。その毛皮からは刺激的な
酸の匂いが立ち昇っている。","Liquid footprints follow this hound as it pads around the dungeon.  An 
acrid smell of acid rises from the dog's pelt.

","J0#",,,,,
341,"キメラ","Chimera","H","y","QUADRUPED","QUADRUPED","0x01","NONE","NONE","NONE",0,0,20,1,0,100,800,433,0,0,"NONE","NONE",-1,110,12,15,10,14,14,14,14,14,14,165,10,55,3,165,10,55,3,"BITE:HURT:1d10
BITE:FIRE:1d3
BITE:FIRE:1d3",,,"FORCE_SLEEP|CAN_FLY|DROP_CORPSE|BASH_DOOR|WILD_MOUNTAIN|IM_FIRE|RIDING","1_IN_10|BR_FIRE",,"ライオンとドラゴンと山羊が混じったような奇妙な生物だ。ひじょうに変わった
外見をしていて、近寄りがたい雰囲気がある。","It is a strange concoction of lion, dragon and goat.  It looks very odd 
but very avoidable.

","J0#",,,,,
342,"クイルスルグ","Quylthulg","Q","W","QUYLTHLUG","QUYLTHLUG","0x01","NONE","NONE","NONE",0,0,20,1,0,250,0,0,0,0,"NONE","NONE",-1,110,10,0,0,0,0,0,0,7,0,1000,10,9000,3,1000,10,9000,3,,,,"FORCE_SLEEP|NEVER_MOVE|NEVER_BLOW|EMPTY_MIND|INVISIBLE|STUPID|NO_CONF|NO_SLEEP|NO_FEAR","1_IN_4|BLINK|S_MONSTER",,"それは脈打つ奇妙な肉の塊だ。","It is a strange pulsing mound of flesh.
","J0#
J0#
J0#(コメント)
J0# ""Quylthulg"" に関してはまったく調べがつかなかった。このモンスターを
J0# 知っているという人も私の知る限りでは一人もいなかった。一体「クイルスルグ」
J0# で読み方が良いのかどうか、未だに判断がつかない。
J0#",,,,,
343,"サスカッチ","Sasquatch","Y","W","YETI","YETI","0x01","NONE","NONE","NONE",0,0,20,3,0,180,0,0,0,0,"NONE","NONE",-1,120,15,40,10,14,14,14,14,14,14,165,10,55,3,165,10,55,3,"CLAW:HURT:1d10
CLAW:HURT:1d10
BITE:HURT:2d8",,,"OPEN_DOOR|BASH_DOOR|WILD_MOUNTAIN|WILD_WOOD|WILD_WASTE|IM_COLD|DROP_SKELETON|DROP_CORPSE",,,"背が高く毛深い人間型の生物だ。それは兄弟であるイエティを呼ぶことがある。","A tall shaggy, furry humanoid, it could call the yeti brother.
","J0#",,,,,
344,"狼<ウィア>人","Weir","C","W","WAREFOLK","WAREFOLK","0x01","NONE","NONE","NONE",0,0,20,2,0,150,0,0,0,0,"NONE","NONE",-1,110,15,30,40,14,14,14,14,14,14,165,10,55,3,165,10,55,3,"BITE:HURT:1d6
BITE:HURT:1d6",,,"RAND_25|OPEN_DOOR|BASH_DOOR|DROP_SKELETON|DROP_CORPSE|FRIENDS",,,"それは追跡者だ。半分人間で、半分獣だ。","It is a tracker; half human, half beast.
","JZ#",,,,,
345,"鯨","Whale","l","G","AQUARIC_MONSTER","AQUARIC_MONSTER","0x01","NONE","NONE","NONE",0,0,20,4,0,8761,3000,594,0,0,"NONE","NONE",-1,110,15,50,70,14,14,14,14,14,14,2345,50,187318,20,2345,50,187318,20,"CRUSH:HURT:1d20
CRUSH:HURT:1d20",,,"RAND_25|FORCE_MAXHP|RES_WATE|AQUATIC|WILD_ALL",,,"それは水の中にすんでいるので魚のように見えるが 
実際は哺乳類だ、それもとても巨大な！","Although it looks like a fish and lives in water, it is in fact 
a mammal. And it is huge!
 
！","JZ#
JZ#(コメント)訳は 紫月閑丸さん",,,,,
346,"電気ウナギ","Electric eel","J","B","SNAKE","SNAKE","0x01","NONE","NONE","NONE",0,0,20,2,0,145,0,0,0,0,"NONE","NONE",-1,110,15,40,70,14,14,14,14,14,14,165,10,55,3,165,10,55,3,"TOUCH:ELEC:2d7
TOUCH:ELEC:7d2
TOUCH:ELEC:2d7",,,"AQUATIC|RAND_25|IM_ELEC|RES_WATE|WILD_ALL",,,"この小さな曲がりくねった生き物は致命的な電圧を発する事が出来る。 
触らないほうがいいぞ！","This cute little serpentine creature can create a deadly voltage. 
Better watch out!
 
！","JZ#
JZ#(コメント)訳は 紫月閑丸さん",,,,,
347,"ワーウルフ","Werewolf","C","D","WAREFOLK","WAREFOLK","0x01","NONE","NONE","NONE",0,0,20,2,0,150,0,0,0,0,"NONE","NONE",-1,110,15,30,70,14,14,14,14,14,14,165,10,55,3,165,10,55,3,"BITE:HURT:1d6
BITE:HURT:1d6
BITE:HURT:1d10",,,"RAND_25|TAKE_ITEM|OPEN_DOOR|BASH_DOOR|DROP_SKELETON",,,"それは人間の知性を宿した、輝く目をした巨大な狼だ。","It is a huge wolf with eyes that glow with manly intelligence.
","J0#
J0#
J0#(コメント)
J0# ワーウルフについては p.263 で「人狼」という訳語が用いられている。
J0# しかし、そうするとワーラットがなんとも訳し難くなるので、ここでは
J0# 「ワーウルフ」と「ワー～」で統一してある。
J0#",,,,,
348,"ダークエルフ・ロード","Dark elven lord","h","D","DARK_ELF","DARK_ELF","0x01","PALADIN","NONE","NONE",0,0,20,2,0,500,0,0,0,0,"NONE","NONE",-1,120,20,40,30,14,14,14,14,14,14,165,10,55,3,165,10,55,3,"HIT:HURT:3d8
HIT:HURT:3d5",,,"FORCE_SLEEP|ONLY_ITEM|DROP_2D2|DROP_SKELETON|DROP_CORPSE|EAT_BLIND|OPEN_DOOR|BASH_DOOR|HURT_LITE|RES_DARK","1_IN_5|HASTE|BLIND|CONF|DARKNESS|BO_FIRE|BO_COLD|MISSILE",,"鎧に身を包み、邪悪の力を発散しているダークエルフだ。","A dark elven figure in armour and radiating evil power.
","J0#",,,,,
349,"クラウド・ジャイアント","Cloud giant","P","B","GIANT","GIANT","0x01","NONE","NONE","NONE",0,0,20,1,0,125,1500,487,0,0,"NONE","NONE",-1,110,20,60,50,14,14,14,14,14,14,165,10,55,3,165,10,55,3,"HIT:ELEC:3d8
HIT:ELEC:3d8",,,"DROP_90|TAKE_ITEM|OPEN_DOOR|BASH_DOOR|DROP_SKELETON|DROP_CORPSE|IM_ELEC|EAT_GIVE_STR",,,"それは背丈が 6 メートル以上もある巨人で、雲が回りに渦巻いている。","It is a twenty foot tall giant wreathed in clouds.
 6 ","J0#",,,,,
350,"アイゼンガルドの将軍『ウグルク』","Ugluk, General of Isengald","o","u","URUK","URUK","0x02","PALADIN","NONE",1,0,0,53,3,0,13000,0,0,0,0,"NONE","NONE",3,110,20,0,20,24,24,22,23,24,27,234,0,142,0,0,0,0,0,"HIT:HURT:3d5
HIT:HURT:3d5
HIT:HURT:3d5
HIT:HURT:3d5",,,"UNIQUE|CAN_SPEAK|FORCE_MAXHP|DROP_SKELETON|DROP_CORPSE|ESCORT|EAT_POISONOUS|ONLY_ITEM|DROP_1D2|DROP_GOOD|OPEN_DOOR|BASH_DOOR|IM_POIS|RES_DARK",,,"彼はクルモが手ずから育てたウルクの氏族の名士で、極めて有能な軍人だ。
アイゼンガルドの大軍団の一翼を担うに申し訳ない将器を持っている。","
","J0#",,,,,
351,"ブルー・ドラゴンバット","Blue dragon bat","b","B","BAT","BAT","0x01","NONE","NONE","NONE",0,0,21,1,0,2881,0,0,0,0,"NONE","NONE",-1,130,12,26,50,14,14,14,14,14,14,35,2,6,1,35,2,6,1,"BITE:ELEC:1d3",,,"FORCE_SLEEP|RAND_50|SELF_LITE_1|BASH_DOOR|CAN_FLY|IM_ELEC","1_IN_4|BR_ELEC",,"それは鋭い尻尾を持った青く輝くコウモリだ。","It is a glowing blue bat with a sharp tail.
","J0#",,,,,
