"ID","CM","NAME","E_NAME","SEX","LEV","DR","P_STR","P_INT","P_WIS","P_DEX","P_CON","P_CHA","H_STR","H_INT","H_WIS","H_DEX","H_CON","H_CHA","P_DIS","P_DEV","P_SAV","P_STL","P_SRH","P_FOS","P_THN","P_THB","P_INFRA","H_DIS","H_DEV","H_SAV","H_STL","H_SRH","H_FOS","H_THN","H_THB","H_INFRA","M_HB","M_HM","M_WB","M_WM","F_HB","F_HM","F_WB","F_WM","P_HITD_M","P_EXP","H_HITD_M","H_EXP","SYM","AGE","AGE_ADD","P_FLAGS","H_FLAGS","SUIT_CLASS"
"30 ","1 ","オーガ","Ogre","0x3","12 ","-1 ","3 ","-1 ","1 ","0 ","4 ","-1 ","1 ","0 ","0 ","0 ","2 ","0 ","1 ","6 ","4 ","-2 ","8 ","8 ","28 ","3 ","3 ","-2 ","1 ","-1 ","-1 ","-1 ","-1 ","10 ","-2 ","0 ","289 ","20 ","402 ","6 ","280 ","20 ","395 ","6 ","0 ","145 ","0 ","145 ","O","14 ","100 ","HUMANOID","HUMANOID","WARRIOR|MAGE|PRIEST|ROGUE|RANGER|PALADIN|WARRIOR_MAGE|CHAOS_WARRIOR|MONK|
MINDCRAFTER|HIGH_MAGE|TOURIST|IMITATOR|BEASTMASTER|SORCERER|ARCHER|
MAGIC_EATER|BARD|RED_MAGE|SAMURAI|FORCETRAINER|BLUE_MAGE|CAVALRY|
BERSERKER|SMITH|MIRROR_MASTER|NINJA|SNIPER"
"31 ","2 ","ジャイアント","Giant","0x3","18 ","-1 ","5 ","1 ","2 ","-2 ","4 ","1 ","2 ","0 ","1 ","-1 ","2 ","0 ","0 ","7 ","12 ","-2 ","7 ","5 ","40 ","10 ","3 ","-3 ","1 ","3 ","-1 ","-1 ","-2 ","15 ","-1 ","2 ","780 ","50 ","6100 ","10 ","740 ","50 ","5800 ","10 ","0 ","240 ","0 ","240 ","P","20 ","10000 ","HUMANOID","HUMANOID","WARRIOR|MAGE|PRIEST|ROGUE|RANGER|PALADIN|WARRIOR_MAGE|CHAOS_WARRIOR|MONK|
MINDCRAFTER|HIGH_MAGE|TOURIST|IMITATOR|BEASTMASTER|SORCERER|ARCHER|
MAGIC_EATER|BARD|RED_MAGE|SAMURAI|FORCETRAINER|BLUE_MAGE|CAVALRY|
BERSERKER|SMITH|MIRROR_MASTER|NINJA|SNIPER"
"32 ","2 ","サイクロプス","Cyclops","0x3","15 ","-1 ","4 ","-3 ","-1 ","-3 ","4 ","-3 ","2 ","-1 ","0 ","-1 ","2 ","-1 ","0 ","2 ","1 ","-2 ","3 ","22 ","30 ","25 ","1 ","-3 ","-2 ","-3 ","-1 ","-1 ","10 ","11 ","7 ","1 ","560 ","40 ","2800 ","10 ","540 ","40 ","2800 ","10 ","0 ","150 ","0 ","150 ","P","20 ","10000 ","HUMANOID","HUMANOID","WARRIOR|MAGE|PRIEST|ROGUE|RANGER|PALADIN|WARRIOR_MAGE|CHAOS_WARRIOR|MONK|
MINDCRAFTER|HIGH_MAGE|TOURIST|IMITATOR|BEASTMASTER|SORCERER|ARCHER|
MAGIC_EATER|BARD|RED_MAGE|SAMURAI|FORCETRAINER|BLUE_MAGE|CAVALRY|
BERSERKER|SMITH|MIRROR_MASTER|NINJA|SNIPER"
"33 ","3 ","タイタン","Titan","0x3","34 ","5 ","8 ","4 ","5 ","1 ","6 ","3 ","3 ","1 ","2 ","0 ","3 ","2 ","0 ","10 ","25 ","-2 ","10 ","10 ","45 ","13 ","0 ","-3 ","3 ","9 ","-1 ","0 ","0 ","22 ","2 ","0 ","670 ","40 ","3300 ","10 ","650 ","40 ","3300 ","10 ","0 ","310 ","0 ","310 ","P","20 ","10000 ","HUMANOID","HUMANOID","WARRIOR|MAGE|PRIEST|ROGUE|RANGER|PALADIN|WARRIOR_MAGE|CHAOS_WARRIOR|MONK|
MINDCRAFTER|HIGH_MAGE|TOURIST|IMITATOR|BEASTMASTER|SORCERER|ARCHER|
MAGIC_EATER|BARD|RED_MAGE|SAMURAI|FORCETRAINER|BLUE_MAGE|CAVALRY|
BERSERKER|SMITH|MIRROR_MASTER|NINJA|SNIPER"
"34 ","0 ","イーク","Yeek","0x3","1 ","-1 ","-2 ","1 ","1 ","1 ","-2 ","-4 ","-1 ","1 ","1 ","0 ","-1 ","-2 ","6 ","6 ","6 ","3 ","10 ","23 ","4 ","4 ","2 ","1 ","1 ","1 ","2 ","0 ","12 ","-2 ","-2 ","1 ","160 ","8 ","45 ","1 ","140 ","8 ","25 ","1 ","0 ","100 ","0 ","100 ","y","14 ","20 ","HUMANOID","HUMANOID","WARRIOR|MAGE|PRIEST|ROGUE|RANGER|PALADIN|WARRIOR_MAGE|CHAOS_WARRIOR|MONK|
MINDCRAFTER|HIGH_MAGE|TOURIST|IMITATOR|BEASTMASTER|SORCERER|ARCHER|
MAGIC_EATER|BARD|RED_MAGE|SAMURAI|FORCETRAINER|BLUE_MAGE|CAVALRY|
BERSERKER|SMITH|MIRROR_MASTER|NINJA|SNIPER"
"35 ","1 ","クラッコン","Klackcon","0x3","1 ","-1 ","2 ","-1 ","-1 ","1 ","2 ","-1 ","1 ","0 ","0 ","0 ","1 ","0 ","10 ","5 ","3 ","0 ","6 ","10 ","15 ","15 ","2 ","3 ","0 ","-1 ","0 ","-2 ","0 ","2 ","2 ","1 ","185 ","11 ","58 ","1 ","177 ","11 ","45 ","1 ","0 ","190 ","0 ","190 ","K","16 ","30 ","HUMANOID","HUMANOID","WARRIOR|MAGE|PRIEST|ROGUE|RANGER|PALADIN|WARRIOR_MAGE|CHAOS_WARRIOR|MONK|
MINDCRAFTER|HIGH_MAGE|TOURIST|IMITATOR|BEASTMASTER|SORCERER|ARCHER|
MAGIC_EATER|BARD|RED_MAGE|SAMURAI|FORCETRAINER|BLUE_MAGE|CAVALRY|
BERSERKER|SMITH|MIRROR_MASTER|NINJA|SNIPER"
"36 ","1 ","マインドフレア","Mind-Flayer","0x3","12 ","-1 ","0 ","5 ","5 ","0 ","-2 ","-2 ","0 ","3 ","2 ","0 ","-1 ","-1 ","10 ","15 ","9 ","2 ","15 ","12 ","1 ","1 ","5 ","3 ","7 ","2 ","1 ","2 ","1 ","-4 ","-4 ","3 ","185 ","11 ","78 ","1 ","177 ","11 ","65 ","1 ","0 ","170 ","0 ","170 ","h","90 ","55 ","HUMANOID","HUMANOID","WARRIOR|MAGE|PRIEST|ROGUE|RANGER|PALADIN|WARRIOR_MAGE|CHAOS_WARRIOR|MONK|
MINDCRAFTER|HIGH_MAGE|TOURIST|IMITATOR|BEASTMASTER|SORCERER|ARCHER|
MAGIC_EATER|BARD|RED_MAGE|SAMURAI|FORCETRAINER|BLUE_MAGE|CAVALRY|
BERSERKER|SMITH|MIRROR_MASTER|NINJA|SNIPER"
"37 ","2 ","ドラコニアン","Draconian","0x3","16 ","-1 ","2 ","1 ","1 ","1 ","2 ","0 ","1 ","0 ","0 ","1 ","1 ","0 ","4 ","6 ","10 ","0 ","10 ","11 ","15 ","15 ","2 ","-1 ","1 ","3 ","0 ","0 ","1 ","2 ","2 ","1 ","230 ","14 ","185 ","2 ","220 ","14 ","170 ","2 ","0 ","220 ","0 ","220 ","d","20 ","60 ","HUMANOID","HUMANOID","WARRIOR|MAGE|PRIEST|ROGUE|RANGER|PALADIN|WARRIOR_MAGE|CHAOS_WARRIOR|MONK|
MINDCRAFTER|HIGH_MAGE|TOURIST|IMITATOR|BEASTMASTER|SORCERER|ARCHER|
MAGIC_EATER|BARD|RED_MAGE|SAMURAI|FORCETRAINER|BLUE_MAGE|CAVALRY|
BERSERKER|SMITH|MIRROR_MASTER|NINJA|SNIPER"
"38 ","2 ","サイヤ人","Saiyan","0x3","12 ","-1 ","4 ","-3 ","-1 ","1 ","2 ","0 ","2 ","-2 ","-1 ","0 ","1 ","0 ","1 ","8 ","2 ","-1 ","6 ","15 ","40 ","10 ","0 ","-2 ","2 ","-1 ","-1 ","-2 ","2 ","20 ","0 ","0 ","170 ","10 ","63 ","1 ","155 ","10 ","44 ","1 ","0 ","180 ","0 ","180 ","p","14 ","30 ","HUMANOID","HUMANOID","WARRIOR|MAGE|PRIEST|ROGUE|RANGER|PALADIN|WARRIOR_MAGE|CHAOS_WARRIOR|MONK|
MINDCRAFTER|HIGH_MAGE|TOURIST|IMITATOR|BEASTMASTER|SORCERER|ARCHER|
MAGIC_EATER|BARD|RED_MAGE|SAMURAI|FORCETRAINER|BLUE_MAGE|CAVALRY|
BERSERKER|SMITH|MIRROR_MASTER|NINJA|SNIPER"
"39 ","1 ","クター","Kutar","0x3","1 ","-1 ","0 ","-1 ","-1 ","1 ","2 ","3 ","0 ","0 ","0 ","0 ","1 ","2 ","3 ","7 ","6 ","5 ","7 ","7 ","10 ","5 ","0 ","-1 ","1 ","0 ","0 ","-1 ","-1 ","0 ","-2 ","0 ","120 ","6 ","30 ","1 ","114 ","6 ","27 ","1 ","0 ","140 ","0 ","140 ","h","7 ","15 ","HUMANOID","HUMANOID","WARRIOR|MAGE|PRIEST|ROGUE|RANGER|PALADIN|WARRIOR_MAGE|CHAOS_WARRIOR|MONK|
MINDCRAFTER|HIGH_MAGE|TOURIST|IMITATOR|BEASTMASTER|SORCERER|ARCHER|
MAGIC_EATER|BARD|RED_MAGE|SAMURAI|FORCETRAINER|BLUE_MAGE|CAVALRY|
BERSERKER|SMITH|MIRROR_MASTER|NINJA|SNIPER"
"40 ","1 ","ゴーレム","Golem","0x8","1 ","-1 ","4 ","-5 ","-3 ","-2 ","4 ","-2 ","3 ","0 ","0 ","3 ","3 ","0 ","0 ","0 ","12 ","-1 ","7 ","5 ","30 ","10 ","4 ","-1 ","-1 ","-1 ","-1 ","-1 ","-2 ","10 ","0 ","2 ","180 ","20 ","250 ","2 ","170 ","20 ","190 ","2 ","0 ","200 ","0 ","200 ","g","1 ","100 ","HUMANOID","HUMANOID","WARRIOR|MAGE|PRIEST|ROGUE|RANGER|PALADIN|WARRIOR_MAGE|CHAOS_WARRIOR|MONK|
MINDCRAFTER|HIGH_MAGE|TOURIST|IMITATOR|BEASTMASTER|SORCERER|ARCHER|
MAGIC_EATER|BARD|RED_MAGE|SAMURAI|FORCETRAINER|BLUE_MAGE|CAVALRY|
BERSERKER|SMITH|MIRROR_MASTER|NINJA|SNIPER"
"41 ","1 ","アンドロイド","Android","0x8","1 ","-1 ","4 ","-3 ","-5 ","0 ","4 ","-2 ","3 ","0 ","0 ","3 ","3 ","0 ","0 ","2 ","4 ","-2 ","10 ","8 ","30 ","20 ","0 ","-1 ","-1 ","-1 ","-1 ","1 ","1 ","10 ","10 ","0 ","180 ","20 ","250 ","2 ","170 ","20 ","190 ","2 ","0 ","200 ","0 ","200 ","g","1 ","100 ","HUMANOID","HUMANOID","WARRIOR|MAGE|PRIEST|ROGUE|RANGER|PALADIN|WARRIOR_MAGE|CHAOS_WARRIOR|MONK|
MINDCRAFTER|HIGH_MAGE|TOURIST|IMITATOR|BEASTMASTER|SORCERER|ARCHER|
MAGIC_EATER|BARD|RED_MAGE|SAMURAI|FORCETRAINER|BLUE_MAGE|CAVALRY|
BERSERKER|SMITH|MIRROR_MASTER|NINJA|SNIPER"
"42 ","2 ","アルコン","Archon","0xF","31 ","3 ","3 ","2 ","5 ","2 ","3 ","4 ","1 ","0 ","2 ","0 ","2 ","2 ","5 ","13 ","21 ","2 ","12 ","13 ","20 ","20 ","3 ","0 ","3 ","8 ","1 ","1 ","2 ","5 ","5 ","0 ","320 ","42 ","332 ","6 ","310 ","42 ","315 ","6 ","0 ","285 ","0 ","285 ","A","10 ","15000 ","HUMANOID","HUMANOID","WARRIOR|MAGE|PRIEST|ROGUE|RANGER|PALADIN|WARRIOR_MAGE|CHAOS_WARRIOR|MONK|
MINDCRAFTER|HIGH_MAGE|TOURIST|IMITATOR|BEASTMASTER|SORCERER|ARCHER|
MAGIC_EATER|BARD|RED_MAGE|SAMURAI|FORCETRAINER|BLUE_MAGE|CAVALRY|
BERSERKER|SMITH|MIRROR_MASTER|NINJA|SNIPER"
"43 ","1 ","インプ","Imp","0xF","5 ","-1 ","0 ","0 ","-1 ","1 ","2 ","-1 ","0 ","0 ","-1 ","1 ","1 ","-1 ","4 ","7 ","3 ","1 ","8 ","10 ","12 ","4 ","3 ","0 ","2 ","-1 ","1 ","-1 ","0 ","1 ","-3 ","2 ","160 ","20 ","45 ","3 ","150 ","8 ","25 ","2 ","0 ","150 ","0 ","150 ","u","1 ","1000 ","HUMANOID","HUMANOID","WARRIOR|MAGE|PRIEST|ROGUE|RANGER|PALADIN|WARRIOR_MAGE|CHAOS_WARRIOR|MONK|
MINDCRAFTER|HIGH_MAGE|TOURIST|IMITATOR|BEASTMASTER|SORCERER|ARCHER|
MAGIC_EATER|BARD|RED_MAGE|SAMURAI|FORCETRAINER|BLUE_MAGE|CAVALRY|
BERSERKER|SMITH|MIRROR_MASTER|NINJA|SNIPER"
"44 ","2 ","フィーンド","Fiend","0xF","27 ","1 ","5 ","5 ","0 ","4 ","4 ","2 ","3 ","2 ","0 ","2 ","2 ","0 ","6 ","15 ","18 ","-1 ","14 ","12 ","30 ","20 ","5 ","0 ","5 ","7 ","-1 ","2 ","1 ","10 ","5 ","3 ","485 ","50 ","2300 ","30 ","485 ","50 ","2300 ","30 ","0 ","295 ","0 ","295 ","U","1 ","30000 ","HUMANOID","HUMANOID","WARRIOR|MAGE|PRIEST|ROGUE|RANGER|PALADIN|WARRIOR_MAGE|CHAOS_WARRIOR|MONK|
MINDCRAFTER|HIGH_MAGE|TOURIST|IMITATOR|BEASTMASTER|SORCERER|ARCHER|
MAGIC_EATER|BARD|RED_MAGE|SAMURAI|FORCETRAINER|BLUE_MAGE|CAVALRY|
BERSERKER|SMITH|MIRROR_MASTER|NINJA|SNIPER"
"45 ","3 ","マイア","Maiar","0x3","34 ","4 ","4 ","4 ","4 ","4 ","4 ","4 ","2 ","2 ","2 ","2 ","2 ","2 ","10 ","12 ","14 ","-1 ","14 ","14 ","30 ","25 ","3 ","2 ","4 ","5 ","-1 ","2 ","2 ","10 ","7 ","2 ","320 ","20 ","300 ","2 ","270 ","18 ","245 ","2 ","0 ","330 ","0 ","330 ","p","10000 ","30000 ","HUMANOID","HUMANOID","WARRIOR|MAGE|PRIEST|ROGUE|RANGER|PALADIN|WARRIOR_MAGE|CHAOS_WARRIOR|MONK|
MINDCRAFTER|HIGH_MAGE|TOURIST|IMITATOR|BEASTMASTER|SORCERER|ARCHER|
MAGIC_EATER|BARD|RED_MAGE|SAMURAI|FORCETRAINER|BLUE_MAGE|CAVALRY|
BERSERKER|SMITH|MIRROR_MASTER|NINJA|SNIPER"
"46 ","0 ","深きもの","Deep-One","0x3","18 ","-1 ","2 ","2 ","1 ","0 ","2 ","-4 ","1 ","1 ","0 ","0 ","1 ","-2 ","6 ","7 ","10 ","0 ","11 ","12 ","10 ","10 ","2 ","1 ","2 ","3 ","0 ","0 ","1 ","0 ","0 ","1 ","190 ","20 ","80 ","3 ","182 ","20 ","79 ","3 ","0 ","180 ","0 ","180 ","h","14 ","100 ","HUMANOID","HUMANOID","WARRIOR|MAGE|PRIEST|ROGUE|RANGER|PALADIN|WARRIOR_MAGE|CHAOS_WARRIOR|MONK|
MINDCRAFTER|HIGH_MAGE|TOURIST|IMITATOR|BEASTMASTER|SORCERER|ARCHER|
MAGIC_EATER|BARD|RED_MAGE|SAMURAI|FORCETRAINER|BLUE_MAGE|CAVALRY|
BERSERKER|SMITH|MIRROR_MASTER|NINJA|SNIPER"
"47 ","2 ","古のもの","Elder-One","0x8","20 ","1 ","1 ","3 ","5 ","1 ","1 ","1 ","0 ","2 ","3 ","0 ","0 ","0 ","7 ","7 ","12 ","0 ","10 ","15 ","8 ","24 ","1 ","2 ","2 ","4 ","0 ","0 ","3 ","-1 ","7 ","1 ","245 ","12 ","150 ","3 ","245 ","12 ","150 ","3 ","0 ","140 ","0 ","140 ","h","14 ","30000 ",,,"WARRIOR|MAGE|PRIEST|ROGUE|RANGER|PALADIN|WARRIOR_MAGE|CHAOS_WARRIOR|MONK|
MINDCRAFTER|HIGH_MAGE|TOURIST|IMITATOR|BEASTMASTER|SORCERER|ARCHER|
MAGIC_EATER|BARD|RED_MAGE|SAMURAI|FORCETRAINER|BLUE_MAGE|CAVALRY|
BERSERKER|SMITH|MIRROR_MASTER|NINJA|SNIPER"
"48 ","2 ","ショゴス","Shoggoth","0x8","15 ","-1 ","0 ","-4 ","-4 ","-2 ","5 ","-5 ","0 ","-2 ","-2 ","-1 ","3 ","-3 ","3 ","3 ","3 ","-3 ","7 ","7 ","15 ","15 ","0 ","1 ","1 ","1 ","-2 ","-2 ","-2 ","2 ","2 ","0 ","80 ","10 ","170 ","3 ","80 ","10 ","170 ","3 ","0 ","250 ","0 ","250 ","h","14 ","30000 ",,,"WARRIOR|MAGE|PRIEST|ROGUE|RANGER|PALADIN|WARRIOR_MAGE|CHAOS_WARRIOR|MONK|
MINDCRAFTER|HIGH_MAGE|TOURIST|IMITATOR|BEASTMASTER|SORCERER|ARCHER|
MAGIC_EATER|BARD|RED_MAGE|SAMURAI|FORCETRAINER|BLUE_MAGE|CAVALRY|
BERSERKER|SMITH|MIRROR_MASTER|NINJA|SNIPER"
"49 ","2 ","盲目のもの","Flying-Polyp","0x8","33 ","2 ","-2 ","3 ","3 ","2 ","2 ","-6 ","-1 ","2 ","2 ","1 ","1 ","-3 ","4 ","10 ","20 ","0 ","3 ","5 ","0 ","0 ","10 ","-1 ","2 ","8 ","0 ","-4 ","-2 ","0 ","0 ","6 ","200 ","19 ","60 ","2 ","200 ","19 ","60 ","2 ","0 ","140 ","0 ","140 ","h","14 ","30000 ",,,"WARRIOR|MAGE|PRIEST|ROGUE|RANGER|PALADIN|WARRIOR_MAGE|CHAOS_WARRIOR|MONK|
MINDCRAFTER|HIGH_MAGE|TOURIST|IMITATOR|BEASTMASTER|SORCERER|ARCHER|
MAGIC_EATER|BARD|RED_MAGE|SAMURAI|FORCETRAINER|BLUE_MAGE|CAVALRY|
BERSERKER|SMITH|MIRROR_MASTER|NINJA|SNIPER"
"50 ","3 ","イスの民","Race-of-Yith","0x8","35 ","8 ","0 ","7 ","3 ","3 ","3 ","-2 ","0 ","4 ","2 ","2 ","2 ","-1 ","10 ","14 ","12 ","0 ","11 ","12 ","5 ","5 ","0 ","3 ","3 ","3 ","0 ","1 ","1 ","-2 ","-2 ","0 ","170 ","10 ","60 ","1 ","155 ","10 ","40 ","1 ","0 ","140 ","0 ","140 ","h","14 ","30000 ",,,"WARRIOR|MAGE|PRIEST|ROGUE|RANGER|PALADIN|WARRIOR_MAGE|CHAOS_WARRIOR|MONK|
MINDCRAFTER|HIGH_MAGE|TOURIST|IMITATOR|BEASTMASTER|SORCERER|ARCHER|
MAGIC_EATER|BARD|RED_MAGE|SAMURAI|FORCETRAINER|BLUE_MAGE|CAVALRY|
BERSERKER|SMITH|MIRROR_MASTER|NINJA|SNIPER"
"51 ","2 ","ミ＝ゴウ","Mi=Go","0x8","24 ","1 ","3 ","3 ","2 ","2 ","0 ","2 ","1 ","1 ","0 ","0 ","0 ","0 ","8 ","12 ","4 ","0 ","13 ","12 ","10 ","10 ","0 ","1 ","3 ","-1 ","0 ","2 ","1 ","0 ","0 ","0 ","180 ","6 ","90 ","1 ","180 ","6 ","90 ","1 ","0 ","140 ","0 ","140 ","h","14 ","30000 ",,,"WARRIOR|MAGE|PRIEST|ROGUE|RANGER|PALADIN|WARRIOR_MAGE|CHAOS_WARRIOR|MONK|
MINDCRAFTER|HIGH_MAGE|TOURIST|IMITATOR|BEASTMASTER|SORCERER|ARCHER|
MAGIC_EATER|BARD|RED_MAGE|SAMURAI|FORCETRAINER|BLUE_MAGE|CAVALRY|
BERSERKER|SMITH|MIRROR_MASTER|NINJA|SNIPER"
"52 ","2 ","イスタリ","Istari","0x3","31 ","1 ","1 ","2 ","2 ","2 ","2 ","3 ","1 ","1 ","1 ","1 ","1 ","2 ","8 ","12 ","8 ","2 ","11 ","11 ","15 ","15 ","3 ","2 ","3 ","2 ","1 ","0 ","0 ","2 ","2 ","2 ","180 ","15 ","72 ","1 ","173 ","15 ","64 ","1 ","0 ","265 ","0 ","265 ","p","1 ","100 ","HUMANOID","HUMANOID","WARRIOR|MAGE|PRIEST|ROGUE|RANGER|PALADIN|WARRIOR_MAGE|CHAOS_WARRIOR|MONK|
MINDCRAFTER|HIGH_MAGE|TOURIST|IMITATOR|BEASTMASTER|SORCERER|ARCHER|
MAGIC_EATER|BARD|RED_MAGE|SAMURAI|FORCETRAINER|BLUE_MAGE|CAVALRY|
BERSERKER|SMITH|MIRROR_MASTER|NINJA|SNIPER"
"53 ","2 ","バルログ","Balrog","0xF","32 ","2 ","6 ","6 ","0 ","5 ","6 ","0 ","3 ","3 ","0 ","2 ","3 ","0 ","3 ","15 ","22 ","-3 ","12 ","15 ","35 ","10 ","5 ","-1 ","5 ","10 ","-2 ","1 ","2 ","10 ","0 ","3 ","620 ","30 ","3800 ","10 ","620 ","30 ","3800 ","10 ","0 ","280 ","0 ","280 ","U","1 ","100 ","HUMANOID","HUMANOID","WARRIOR|MAGE|PRIEST|ROGUE|RANGER|PALADIN|WARRIOR_MAGE|CHAOS_WARRIOR|MONK|
MINDCRAFTER|HIGH_MAGE|TOURIST|IMITATOR|BEASTMASTER|SORCERER|ARCHER|
MAGIC_EATER|BARD|RED_MAGE|SAMURAI|FORCETRAINER|BLUE_MAGE|CAVALRY|
BERSERKER|SMITH|MIRROR_MASTER|NINJA|SNIPER"
"54 ","2 ","ドラゴン","Dragon","0xF","15 ","-1 ","8 ","3 ","2 ","4 ","8 ","2 ","3 ","2 ","1 ","2 ","3 ","1 ","15 ","10 ","15 ","0 ","10 ","15 ","40 ","0 ","5 ","5 ","3 ","5 ","0 ","0 ","2 ","20 ","0 ","2 ","170 ","10 ","60 ","1 ","155 ","10 ","40 ","1 ","0 ","300 ","0 ","300 ","d","1 ","100 ",,,
"55 ","2 ","大猿","Giant-Ape","0xF","26 ","-1 ","7 ","-5 ","-3 ","1 ","5 ","-2 ","0 ","0 ","0 ","0 ","0 ","0 ","1 ","2 ","10 ","-1 ","6 ","15 ","55 ","10 ","0 ","-2 ","2 ","3 ","-1 ","-2 ","2 ","20 ","0 ","0 ","170 ","10 ","60 ","1 ","155 ","10 ","40 ","1 ","0 ","100 ","0 ","100 ","H","1 ","100 ","HUMANOID","HUMANOID","WARRIOR|MAGE|PRIEST|ROGUE|RANGER|PALADIN|WARRIOR_MAGE|CHAOS_WARRIOR|MONK|
MINDCRAFTER|HIGH_MAGE|TOURIST|IMITATOR|BEASTMASTER|SORCERER|ARCHER|
MAGIC_EATER|BARD|RED_MAGE|SAMURAI|FORCETRAINER|BLUE_MAGE|CAVALRY|
BERSERKER|SMITH|MIRROR_MASTER|NINJA|SNIPER"
"56 ","3 ","超サイヤ人","Super-Saiyan","0xF","31 ","3 ","7 ","-3 ","-1 ","6 ","7 ","1 ","0 ","0 ","0 ","0 ","0 ","0 ","1 ","11 ","12 ","-3 ","6 ","15 ","50 ","10 ","0 ","-2 ","2 ","4 ","-2 ","-2 ","2 ","20 ","0 ","0 ","170 ","10 ","60 ","1 ","155 ","10 ","40 ","1 ","0 ","100 ","0 ","100 ","H","1 ","100 ","HUMANOID","HUMANOID","WARRIOR|MAGE|PRIEST|ROGUE|RANGER|PALADIN|WARRIOR_MAGE|CHAOS_WARRIOR|MONK|
MINDCRAFTER|HIGH_MAGE|TOURIST|IMITATOR|BEASTMASTER|SORCERER|ARCHER|
MAGIC_EATER|BARD|RED_MAGE|SAMURAI|FORCETRAINER|BLUE_MAGE|CAVALRY|
BERSERKER|SMITH|MIRROR_MASTER|NINJA|SNIPER"
"56 ","3 ","ナズグル","Nazgul","0xF","31 ","3 ","7 ","-3 ","-1 ","6 ","7 ","1 ","0 ","0 ","0 ","0 ","0 ","0 ","1 ","11 ","12 ","-3 ","6 ","15 ","50 ","10 ","0 ","-2 ","2 ","4 ","-2 ","-2 ","2 ","20 ","0 ","0 ","170 ","10 ","60 ","1 ","155 ","10 ","40 ","1 ","0 ","100 ","0 ","100 ","H","1 ","100 ","HUMANOID","HUMANOID","WARRIOR|MAGE|PRIEST|ROGUE|RANGER|PALADIN|WARRIOR_MAGE|CHAOS_WARRIOR|MONK|
MINDCRAFTER|HIGH_MAGE|TOURIST|IMITATOR|BEASTMASTER|SORCERER|ARCHER|
MAGIC_EATER|BARD|RED_MAGE|SAMURAI|FORCETRAINER|BLUE_MAGE|CAVALRY|
BERSERKER|SMITH|MIRROR_MASTER|NINJA|SNIPER"
"57 ","0 ","アリ","Ant","0x3","1 ","-1 ","3 ","-4 ","-4 ","2 ","4 ","-2 ","2 ","-2 ","-2 ","1 ","2 ","-1 ","5 ","5 ","5 ","0 ","10 ","10 ","10 ","10 ","0 ","0 ","0 ","0 ","0 ","0 ","0 ","0 ","0 ","0 ","170 ","10 ","60 ","1 ","155 ","10 ","40 ","1 ","1 ","100 ","1 ","100 ","p","15 ","20 ",,,
"58 ","0 ","コウモリ","Bat","0x3","1 ","-1 ","-4 ","-2 ","-2 ","4 ","-2 ","-1 ","-2 ","-1 ","-1 ","2 ","-1 ","-1 ","25 ","5 ","5 ","18 ","10 ","40 ","0 ","-10 ","9 ","10 ","0 ","0 ","0 ","9 ","15 ","0 ","0 ","5 ","170 ","10 ","60 ","1 ","155 ","10 ","40 ","1 ","1 ","100 ","1 ","100 ","p","15 ","20 ",,,
"59 ","0 ","ムカデ","Centipete","0x3","1 ","-1 ","4 ","-4 ","-4 ","3 ","5 ","-4 ","2 ","-2 ","-2 ","1 ","3 ","-2 ","5 ","5 ","5 ","0 ","10 ","10 ","10 ","10 ","0 ","0 ","0 ","0 ","0 ","0 ","0 ","0 ","0 ","0 ","170 ","10 ","60 ","1 ","155 ","10 ","40 ","1 ","1 ","100 ","1 ","100 ","p","15 ","20 ",,,
"60 ","0 ","眼球生物","FloatingEye","0x3","1 ","-1 ","2 ","2 ","-4 ","-2 ","4 ","-4 ","1 ","1 ","-2 ","-1 ","2 ","-2 ","25 ","5 ","20 ","15 ","30 ","20 ","-10 ","-10 ","7 ","10 ","0 ","8 ","7 ","10 ","5 ","-10 ","-10 ","4 ","170 ","10 ","60 ","1 ","155 ","10 ","40 ","1 ","1 ","100 ","1 ","100 ","p","15 ","20 ",,,
"61 ","0 ","猫","Feline","0x3","1 ","-1 ","1 ","-2 ","-2 ","3 ","2 ","2 ","0 ","-1 ","-1 ","2 ","1 ","1 ","0 ","5 ","5 ","14 ","30 ","20 ","25 ","-10 ","7 ","-3 ","0 ","0 ","7 ","10 ","5 ","8 ","-10 ","4 ","170 ","10 ","60 ","1 ","155 ","10 ","40 ","1 ","1 ","100 ","1 ","100 ","p","15 ","20 ",,,
"62 ","0 ","ベトベト","Icky","0x3","1 ","-1 ","3 ","-2 ","-2 ","-2 ","3 ","-2 ","2 ","-1 ","-1 ","-1 ","1 ","-1 ","5 ","5 ","5 ","0 ","10 ","10 ","10 ","10 ","0 ","0 ","0 ","0 ","0 ","0 ","0 ","0 ","0 ","0 ","170 ","10 ","60 ","1 ","155 ","10 ","40 ","1 ","1 ","100 ","1 ","100 ","p","15 ","20 ",,,
"63 ","0 ","粘体生命","Jelly","0x3","1 ","-1 ","-3 ","-3 ","-3 ","-3 ","9 ","-3 ","-2 ","-2 ","-2 ","-2 ","6 ","-2 ","5 ","5 ","5 ","0 ","10 ","10 ","10 ","10 ","0 ","0 ","0 ","0 ","0 ","0 ","0 ","0 ","0 ","0 ","170 ","10 ","60 ","1 ","155 ","10 ","40 ","1 ","1 ","100 ","1 ","100 ","p","15 ","20 ",,,
